"cluster","n","tau_mean","tau_sd","LAS_mean","LAS_sd","IschemicTime_mean","IschemicTime_sd","SixMinWalk_mean","SixMinWalk_sd","BMI_mean","BMI_sd","RecipientAge_mean","RecipientAge_sd","DonorAge_mean","DonorAge_sd","DonorCMV_mean","DonorCMV_sd"
"C1",1137,8.65079197562088,7.31693154362587,72.793446918999,13.9401885884235,5.55939831897262,1.87048078998571,304.585751978892,339.171357000398,25.5821433543095,4.40824950257682,56.9753737906772,11.0250718781047,35.1160949868074,14.0084442422976,0.670184696569921,0.470352786774102
"C2",4426,9.71931627093265,8.11717265077864,39.4330789053771,6.82818793498362,5.10909246417984,1.75932685558775,846.971531857207,408.107594767479,27.9247032890797,3.49231827749233,61.1735201084501,8.05782402608884,35.6156800723,13.9327300045326,1,0
"C3",3201,12.5279001287646,10.387976661906,39.1626949389537,7.37840673393877,5.24430951801027,1.80091547487588,848.463292721024,409.690947520542,27.6110676082535,3.59956848891671,61.0049984379881,8.04351291462946,33.9153389565761,13.9713999931251,0,0
"C4",2013,25.8536286053907,7.49335014765136,39.4959145331312,8.22108573218802,5.90561579378813,1.95239643850261,861.80476900149,446.337142826707,20.1572903981238,3.02840415788335,32.3974167908594,9.25376895349071,31.2424242424242,12.726002578777,0.640834575260805,0.479875003353708
"C5",3419,32.2761927340888,7.07770988394578,33.4629062808905,8.00959995749663,4.6233626725765,1.49819105293886,741.365311494589,343.93783658921,22.6330589219567,3.24671504942107,60.6791459491079,6.58728635014434,36.1918689675344,14.2820388492479,0.691722725943258,0.461849309211354
