,n,p,sigma,method,mean_logmse,sd_logmse,se_logmse,reps,sce,var_logmse,ci_lo,ci_hi
1,1000,20,1,rev-weight-dnn,-0.710745745,0.278170859723453,0.00879653495413307,1000,1,0.077379027199285,-0.727986954,-0.693504537
2,1000,20,1,unrev-weight-dnn,-0.54985857,0.249405130513943,0.0078868827255562,1000,1,0.0622029191266768,-0.56531686,-0.53440028
3,1000,20,1,rev-weight-kern,0.0458663586362982,0.122805605511493,0.00388345422852445,1000,1,0.0150812167450444,0.0382547883483903,0.0534779289242061
4,1000,20,1,unrev-weight-kern,0.104493214222474,0.121334527173193,0.00383693464686881,1000,1,0.0147220674843422,0.0969728223146111,0.112013606130337
5,1000,20,1,rev-weight-lasso,0.251029306247698,0.118536523584442,0.00374845400445104,1000,1,0.014050907423485,0.243682336398974,0.258376276096422
6,1000,20,1,unrev-weight-lasso,0.252116971356024,0.118883691096745,0.00375943240513595,1000,1,0.0141333320087862,0.244748483841957,0.25948545887009
7,1000,20,1,rev-weight-xgboost,0.282664094825578,0.144407277153891,0.00456655906509494,1000,1,0.0208534616950007,0.273713639057992,0.291614550593164
8,1000,20,1,unrev-weight-xgboost,0.293820931437133,0.149807890652594,0.00473734145927646,1000,1,0.0224424041017796,0.284535742176951,0.303106120697315
9,1000,40,1,rev-weight-dnn,-0.402001016,0.246387144537145,0.00779144562922491,1000,2,0.060706624993168,-0.41727225,-0.386729783
10,1000,40,1,unrev-weight-dnn,-0.180825444,0.206517692366124,0.0065306628499892,1000,2,0.0426495572602291,-0.193625543,-0.168025345
11,1000,40,1,rev-weight-lasso,0.292002332868265,0.129700825614715,0.00410150023346809,1000,2,0.0168223041651388,0.283963392410668,0.300041273325863
12,1000,40,1,unrev-weight-lasso,0.292310413268282,0.130314332521454,0.00412090102532347,1000,2,0.016981825260512,0.284233447258648,0.300387379277916
13,1000,40,1,rev-weight-xgboost,0.369590794517634,0.132604690418049,0.00419332850142539,1000,2,0.0175840039208665,0.36137187065484,0.377809718380427
14,1000,40,1,unrev-weight-xgboost,0.375786580599621,0.144781149449293,0.00457838194516997,1000,2,0.0209615812358584,0.366812951987088,0.384760209212154
15,1000,40,1,rev-weight-kern,0.447755522613296,0.121152835922123,0.00383118906502574,1000,2,0.0146780096519728,0.440246392045846,0.455264653180746
16,1000,40,1,unrev-weight-kern,0.458424340071622,0.118418525049111,0.00374472256312893,1000,2,0.0140229470748069,0.451084683847889,0.465763996295354
17,1000,20,3,rev-weight-dnn,0.332558516729953,0.246025779186968,0.00778001825348466,1000,3,0.0605286840245545,0.317309680953123,0.347807352506783
18,1000,20,3,unrev-weight-dnn,0.355066187554126,0.236584981391209,0.00748147401384771,1000,3,0.0559724534198786,0.340402498486984,0.369729876621267
19,1000,20,3,rev-weight-lasso,0.532406322286878,0.188504609785864,0.00596103916364595,1000,3,0.0355339879105208,0.520722685526132,0.544089959047624
20,1000,20,3,unrev-weight-lasso,0.534349171574927,0.186554824204538,0.0058993815297865,1000,3,0.0348027024339861,0.522786383776545,0.545911959373308
21,1000,20,3,rev-weight-kern,0.668766556992712,0.192148167624849,0.00607625857922349,1000,3,0.0369209183215871,0.656857090177434,0.680676023807991
22,1000,20,3,unrev-weight-kern,0.676874682308838,0.186864792461123,0.0059091835867181,1000,3,0.0349184506615386,0.665292682478871,0.688456682138806
23,1000,20,3,rev-weight-xgboost,1.01379941652817,0.166307092434573,0.00525909203133408,1000,3,0.0276580489940416,1.00349159614676,1.02410723690959
24,1000,20,3,unrev-weight-xgboost,1.01916084191475,0.16879119738452,0.00533764632722138,1000,3,0.0284904683144999,1.0086990551134,1.02962262871611
25,1000,40,3,rev-weight-dnn,0.606708056889548,0.201570233122977,0.00637421045159723,1000,4,0.0406305588812514,0.614214604404418,0.639201509374679
26,1000,40,3,unrev-weight-dnn,0.628257562894703,0.202186450562355,0.00639369695802074,1000,4,0.0408793607910036,0.615725916856983,0.640789208932424
27,1000,40,3,rev-weight-lasso,0.821650704262092,0.185169683126024,0.00585557952289882,1000,4,0.034287811548992,0.79517376839721,0.818127640126974
28,1000,40,3,unrev-weight-lasso,0.823827369765944,0.182845301054637,0.00578207610791841,1000,4,0.033432404117761,0.812494500594424,0.835160238937464
29,1000,40,3,rev-weight-kern,0.95400332634259,0.170988789131225,0.00540714028008916,1000,4,0.0292371660085627,0.943405331393615,0.964601321291564
30,1000,40,3,unrev-weight-kern,0.958402206283011,0.176086868311051,0.00556835569909048,1000,4,0.0310065851915934,0.947488229112794,0.969316183453228
31,1000,40,3,rev-weight-xgboost,1.1183396495594,0.159674770773442,0.00504935960509362,1000,4,0.0254960324215512,1.10844290473342,1.12823639438538
32,1000,40,3,unrev-weight-xgboost,1.12109546020032,0.168365669204879,0.00532418994465887,1000,4,0.0283469985668066,1.11066004790879,1.13153087249185
33,2000,20,1,rev-weight-dnn,-0.918804893,0.207602143121385,0.00656495619395835,1000,5,0.0430986498285921,-0.931672207,-0.905937579
34,2000,20,1,unrev-weight-dnn,-0.847088905,0.200712911781206,0.00634709957033054,1000,5,0.0402856729556902,-0.859529221,-0.83464859
35,2000,20,1,rev-weight-kern,-0.436359614,0.103035252871429,0.00325826078365121,1000,5,0.0106162633342794,-0.442745806,-0.429973423
36,2000,20,1,unrev-weight-kern,-0.381970375,0.113842784034394,0.00360002492723339,1000,5,0.0129601794767018,-0.389026424,-0.374914326
37,2000,20,1,rev-weight-xgboost,-0.0879004,0.122891882524869,0.00388618254724431,1000,5,0.0151024147905063,-0.095517318,-0.080283482
38,2000,20,1,unrev-weight-xgboost,-0.069376066,0.131006755551231,0.00414279736410796,1000,5,0.0171627700000599,-0.077495949,-0.061256183
39,2000,20,1,rev-weight-lasso,0.151847211869628,0.07361893839373,0.00232803524247805,1000,5,0.00541974809021981,0.147284262794371,0.156410160944885
40,2000,20,1,unrev-weight-lasso,0.152033064227305,0.0737163850837789,0.00233111677738804,1000,5,0.00543410542981998,0.147464075343624,0.156602053110986
41,2000,40,1,rev-weight-dnn,-0.874040568,0.211347136528505,0.00668338328384647,1000,6,0.0446676121187985,-0.887139999,-0.860941137
42,2000,40,1,unrev-weight-dnn,-0.768552071,0.195779532882975,0.00619109243154034,1000,6,0.038329625495876,-0.780686612,-0.75641753
43,2000,40,1,rev-weight-xgboost,-0.017934516,0.124730971778749,0.00394433965587031,1000,6,0.0155578153208711,-0.025665422,-0.01020361
44,2000,40,1,unrev-weight-xgboost,0.00635920953024473,0.124233821834848,0.0039286183942568,1000,6,0.0154340424876929,-0.001340883,0.0140593015829881
45,2000,40,1,rev-weight-kern,0.15008643923522,0.0951221869968971,0.00300802766926647,1000,6,0.00904823045907267,0.144190705003458,0.155982173466982
46,2000,40,1,unrev-weight-kern,0.183334368201927,0.0943514704222725,0.0029836554712039,1000,6,0.00890219997084496,0.177486403478367,0.189182332925486
47,2000,40,1,rev-weight-lasso,0.183477259856396,0.0779743061815577,0.00246576406505069,1000,6,0.00607999242449531,0.178644362288897,0.188310157423896
48,2000,40,1,unrev-weight-lasso,0.183964059984329,0.0771782999554326,0.00244059213798839,1000,6,0.00595648998401073,0.179180499393871,0.188747620574786
49,2000,20,3,rev-weight-dnn,0.000788633296683261,0.247387215139086,0.00782307063845599,1000,7,0.0612004342142722,-0.014544585,0.016121851748057
50,2000,20,3,unrev-weight-dnn,0.0290864176135943,0.242984681982587,0.00768385031596652,1000,7,0.0590415556781788,0.0140260709942999,0.0441467642328887
51,2000,20,3,rev-weight-lasso,0.318813691426367,0.116714395758143,0.00369083326326028,1000,7,0.0136222501771885,0.311579658230376,0.326047724622357
52,2000,20,3,unrev-weight-lasso,0.31889670353718,0.118036184425245,0.00373263189099466,1000,7,0.0139325408336704,0.311580745030831,0.32621266204353
53,2000,20,3,rev-weight-kern,0.341885416275028,0.1379037287298,0.00436089880616168,1000,7,0.0190174383975824,0.333338054614951,0.350432777935105
54,2000,20,3,unrev-weight-kern,0.355559723368705,0.131647898310501,0.00416307207835417,1000,7,0.0173311691295721,0.347400102095131,0.36371934464228
55,2000,20,3,rev-weight-xgboost,0.678943877779873,0.150295803737004,0.00475277062574579,1000,7,0.022588828620952,0.669628447353411,0.688259308206335
56,2000,20,3,unrev-weight-xgboost,0.694423030603454,0.15454481574904,0.00488713618338028,1000,7,0.0238841000749048,0.684844243684028,0.704001817522879
57,2000,40,3,rev-weight-dnn,0.11335351289191,0.227813635901457,0.00720409971492912,1000,8,0.0518990527026418,0.0992334774506493,0.127473548333171
58,2000,40,3,unrev-weight-dnn,0.154078539494944,0.22760198424323,0.00719740670182362,1000,8,0.0518026632314556,0.13997162235937,0.168185456630519
59,2000,40,3,rev-weight-lasso,0.386673542537479,0.131568566460998,0.00416056338499992,1000,8,0.017310287680602,0.378518838302879,0.394828246772078
60,2000,40,3,unrev-weight-lasso,0.387375238429633,0.132378307411771,0.00418616964219146,1000,8,0.0175240162732053,0.379170345930937,0.395580130928328
61,2000,40,3,unrev-weight-kern,0.668152831466505,0.133434088096608,0.00421955635892842,1000,8,0.0178046558661733,0.659882501003005,0.676423161930005
62,2000,40,3,rev-weight-kern,0.675963031127437,0.136910428631969,0.00432948789906954,1000,8,0.0187444654681896,0.667477234845261,0.684448827409613
63,2000,40,3,rev-weight-xgboost,0.776427724402316,0.146675656745244,0.00463829152616012,1000,8,0.0215137482816487,0.767336673011042,0.78551877579359
64,2000,40,3,unrev-weight-xgboost,0.790197025305469,0.150834520554675,0.00476980634732257,1000,8,0.0227510525909586,0.780848204864717,0.799545845746221
